batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
1024,200,32,32,0.7,sigmoid,rmsprop,1.0,758837.553209307,48713.8798978584
1024,200,32,32,0.3,tanh,adam,1.0,758882.533324771,176178.47929576063
64,200,64,128,0.7,sigmoid,rmsprop,0.0001,758987.082697772,3049.2108167004712
256,200,256,128,0.7,sigmoid,rmsprop,0.0001,759541.993887184,1774.4212147226278
1024,200,64,64,0.3,sigmoid,rmsprop,0.0001,760963.054789363,1900.1022979222785
32,200,64,256,0.7,tanh,adagrad,0.0001,761077.318422872,1658.6873828500393
512,200,64,256,0.3,sigmoid,adam,0.0001,766339.282451551,1628.349893481285
32,200,256,32,0.7,sigmoid,rmsprop,0.0001,766627.656291527,1767.798122704208
64,200,32,256,0.7,tanh,adam,1.0,769418.659708247,3190042.569390709
256,200,64,32,0.3,tanh,adam,1.0,769997.533319904,337287.80558984034
64,200,256,32,0.7,tanh,rmsprop,0.0001,770169.595158221,2282.968433413328
32,200,64,256,0.7,tanh,adam,1.0,771844.718674821,9999999999999.0
64,200,32,256,0.7,tanh,adagrad,0.0001,772558.372835395,1737.6738871790883
512,200,32,32,0.3,relu,rmsprop,0.0001,776676.515845319,1803.8074447901968
32,200,64,32,0.7,sigmoid,rmsprop,0.0001,776751.711285269,1808.525246985365
64,200,128,32,0.3,sigmoid,rmsprop,0.0001,777393.131754939,1993.5917703499151
512,200,128,32,0.3,sigmoid,rmsprop,0.0001,778258.085735116,1858.5791223047963
128,200,32,256,0.3,sigmoid,adam,1.0,778478.554044676,877017.2021174176
256,200,256,64,0.7,sigmoid,adam,1.0,779074.90110073,6698.765224924246
32,200,32,256,0.7,tanh,rmsprop,0.0001,780050.89539382,2361.203214940366
128,200,256,32,0.7,tanh,adagrad,0.0001,780784.011229107,1821.0672048490285
32,200,32,256,0.7,relu,rmsprop,1.0,800475.252140826,9999999999999.0
1024,200,32,32,0.6979328566290177,sigmoid,adam,0.8887379275224764,800660.618193133,2003.537326856696
512,200,128,64,0.6385570589729002,sigmoid,rmsprop,0.5941368853489966,800733.502557766,689058.5281298017
512,200,32,32,0.4496872750316445,relu,adagrad,0.5604598698551478,800923.310510406,2544.724506943083
256,200,32,128,0.6800066317620668,relu,rmsprop,0.832762487985603,802550.627245173,9999999999999.0
64,200,64,128,0.3756418279424123,tanh,adagrad,0.5928848595903972,801491.484065416,20074.753438996577
128,200,128,128,0.5070484281225766,relu,rmsprop,0.8947709798268425,803009.59155447,9999999999999.0
512,200,64,64,0.3010224126893377,sigmoid,adam,0.0948504121873866,802916.904933186,2042.6560840323984
1024,200,32,64,0.628243748525831,relu,adagrad,0.7847851386083847,803283.522821081,32012.48783063136
64,200,128,128,0.3180032689311122,tanh,adam,0.8392275640622522,804003.282895529,9999999999999.0
128,200,64,128,0.5012617927695443,sigmoid,rmsprop,0.721985185664267,805354.337979827,3839480.889194297
256,200,128,128,0.4702521698624785,tanh,adam,0.5769420625049351,806130.741682871,1181833.9582886158
64,200,128,64,0.3458800058443971,relu,adam,0.9790621082146164,806877.336401114,9999999999999.0
1024,200,32,128,0.6316994226795144,sigmoid,adam,0.8065245446298732,807543.268044004,2135.1281531958643
128,200,64,64,0.4449349121717906,tanh,adam,0.1916625417994967,807782.475509333,106258.95637207148
1024,200,64,32,0.4942307029921055,tanh,adam,0.0204587434906843,808324.901619872,1782.5877917404143
512,200,128,64,0.7,relu,adam,1.0,808578.376205201,9999999999999.0
1024,200,32,64,0.5572182053318363,sigmoid,adagrad,0.6119917135412839,808716.659293748,2003.4091540060328
256,200,64,64,0.3,relu,adam,0.0001,809386.402285222,2014.979727850765
512,200,32,64,0.3,relu,adam,0.0001,809697.131805636,1853.1362469778967
32,200,32,128,0.3,tanh,adagrad,0.0001,803225.770285962,1721.4140498512106
256,200,32,64,0.3,sigmoid,adagrad,0.0001,809834.532825218,2003.2103961290968
1024,200,32,32,0.3,sigmoid,adagrad,0.0001,810163.187659545,2006.325764190923
512,200,128,64,0.7,sigmoid,adagrad,0.0001,809985.36682752,2003.2371025121083
1024,200,32,32,0.3,tanh,adagrad,0.0001,810493.220509558,2253.098497368728
32,200,64,128,0.7,sigmoid,rmsprop,0.0001,810495.507348444,3191.932176155961
512,200,32,32,0.3,sigmoid,rmsprop,0.0001,811285.015533405,1891.727015934527
64,200,32,128,0.7,sigmoid,adagrad,0.0001,811496.065217503,2027.9959533520075
256,200,64,32,0.3,relu,adam,0.0001,812221.805609878,1709.702253361556
512,200,64,128,0.3,tanh,adam,0.0001,812521.694977556,1717.7404323392566
256,200,32,32,0.3,tanh,adagrad,0.0001,811511.211403123,1931.628597387304
64,200,32,64,0.3,sigmoid,rmsprop,0.0001,813908.883261718,1599.5140873468506
256,200,256,128,0.7,sigmoid,adam,0.0001,812716.029473755,1999.2273003834227
128,200,32,256,0.3,relu,adam,0.0001,814659.474699752,2146.841320967891
64,200,32,128,0.3,sigmoid,rmsprop,0.0001,814628.974835016,1755.5861073958745
128,200,32,64,0.3,sigmoid,adagrad,0.0001,815147.928886442,1996.5101942457056
1024,200,64,256,0.3,sigmoid,adam,0.0001,815477.545309518,1623.657300377663
256,200,128,32,0.3,tanh,adam,0.0001,815655.023723861,2034.2469303717069
128,200,32,32,0.7,relu,adam,0.0001,815989.846980476,1787.4260598482913
1024,200,32,128,0.3,tanh,adam,0.0001,816278.232248581,1718.5051580554027
512,200,128,256,0.3,tanh,adam,0.0001,816358.233480114,1867.6442764875287
512,200,256,256,0.3,sigmoid,adam,0.0001,816603.683083956,1875.0898209782144
1024,200,256,256,0.3,relu,adagrad,0.0001,817439.361823605,2202.358601127603
1024,200,32,64,0.7,sigmoid,rmsprop,0.0001,821445.830933023,2004.2869954712933
64,200,32,32,0.3,tanh,rmsprop,0.0001,821547.323898471,1913.402320726993
1024,200,128,128,0.3,sigmoid,rmsprop,0.0001,821828.292554425,1649.4862715713869
512,200,256,256,0.3,sigmoid,rmsprop,0.0001,822177.242780952,2700.618971424033
32,200,32,32,0.7,relu,rmsprop,0.0001,823183.264474849,1844.388025610447
1024,200,256,256,0.7,sigmoid,rmsprop,1.0,823684.226439844,9220618.620899947
1024,200,256,32,0.3,sigmoid,rmsprop,0.0001,823937.755745477,1870.057872346456
256,200,64,256,0.3,sigmoid,adam,0.0001,824358.333044743,1766.4876646258087
32,200,32,32,0.7,tanh,adam,0.0001,824728.410218517,2038.306072319716
32,200,32,32,0.7,sigmoid,adam,0.0001,825242.14389357,1788.7831644309708
256,200,128,64,0.3,sigmoid,rmsprop,0.0001,826108.755089035,2325.306016743764
1024,200,256,32,0.3,tanh,rmsprop,0.0001,826524.517789828,1681.574499359415
256,200,128,32,0.3,tanh,rmsprop,0.0001,826916.13186605,1912.7496338941216
1024,200,32,32,0.7,sigmoid,rmsprop,1.0,827215.21049901,205957.76857901143
512,200,256,128,0.3,tanh,rmsprop,0.0001,827266.364913909,1939.833501238868
1024,200,256,256,0.7,tanh,rmsprop,1.0,827711.289245476,9999999999999.0
512,200,256,128,0.3,sigmoid,adagrad,0.0001,827774.808935102,2005.5696663890585
1024,200,256,256,0.3,sigmoid,adam,1.0,828725.323164316,18004.61866982256
256,200,256,32,0.7,relu,rmsprop,0.0001,829320.189376729,1867.0170843178264
32,200,32,256,0.7,tanh,rmsprop,0.0001,830214.84872548,2434.148023580959
32,200,32,64,0.7,tanh,rmsprop,0.0001,830876.957310619,2210.86308665837
128,200,64,32,0.7,sigmoid,rmsprop,0.0001,831388.093850765,1932.2197628588444
32,200,256,256,0.7,sigmoid,rmsprop,0.0001,831829.763009797,4948.176263037747
32,200,32,256,0.7,sigmoid,rmsprop,1.0,834743.75952327,8011427.811079066
1024,200,64,32,0.7,tanh,rmsprop,0.0001,835814.4339765,1763.4673164673538
1024,200,64,32,0.3,sigmoid,rmsprop,0.0001,835980.280515954,1884.7784615807311
32,200,32,256,0.7,sigmoid,adam,0.0001,836123.742755863,2654.008505297445
1024,200,32,256,0.3,sigmoid,adam,0.0001,836893.905461123,1632.7576930169928
32,200,64,256,0.7,sigmoid,rmsprop,0.0001,837164.572211726,1872.6917067654392
32,200,32,32,0.3,sigmoid,rmsprop,1.0,838289.937228063,924864.779467386
32,200,256,32,0.7,tanh,rmsprop,0.0001,839122.810451581,2394.3701861920013
64,200,32,128,0.4693752666554125,sigmoid,adam,0.1524297865280053,841487.580795361,2081.490741904214
32,200,32,64,0.7,sigmoid,rmsprop,0.0001,842234.850688747,2267.248577492596
64,200,32,64,0.7,sigmoid,rmsprop,1.0,842875.955630623,697155.0691956211
32,200,64,32,0.7,tanh,rmsprop,0.0001,843404.001347569,1994.984812842984
32,200,256,32,0.7,sigmoid,rmsprop,0.0001,843989.887363522,1730.3987369789938
128,200,256,32,0.3,relu,rmsprop,0.0001,846807.050895999,2154.201933398708
256,200,256,64,0.3,tanh,rmsprop,0.0001,847940.469917503,2024.8976896196111
1024,200,128,256,0.3,sigmoid,adagrad,0.0001,848675.2389586,1999.733319580215
512,200,256,128,0.3,tanh,adam,0.0001,848965.162869112,1908.1798149692925
32,200,256,256,0.7,tanh,rmsprop,0.0001,849400.54501196,2699.6862174219164
128,200,32,32,0.3,sigmoid,rmsprop,1.0,851848.006332863,920205.2063309584
32,200,32,256,0.3,tanh,adam,0.0001,852228.247568761,2561.203773929008
32,200,32,256,0.3,relu,adagrad,1.0,852935.606155307,81173.49828021988
64,200,64,128,0.7,sigmoid,rmsprop,0.0001,858501.386842519,3017.9851774683416
32,200,64,32,0.7,sigmoid,rmsprop,0.0001,859062.330137283,2059.6611401563605
256,200,256,32,0.3,tanh,adagrad,0.0001,859802.275778439,1771.521293991066
128,200,256,256,0.3,sigmoid,rmsprop,0.0001,870158.37676443,1846.8083625076545
1024,200,32,32,0.3,tanh,adam,0.0001,872882.887195671,1766.006559168064
1024,200,256,256,0.3,relu,adam,0.0001,873022.685951221,1901.534125095921
256,200,128,64,0.3,tanh,adagrad,0.0001,873365.699068303,1806.5548962553912
128,200,32,256,0.3,sigmoid,adam,0.0001,877832.985400499,1625.3040927613165
64,200,128,32,0.7,tanh,rmsprop,0.0001,878262.128380839,2041.928176636328
128,200,256,32,0.7,sigmoid,rmsprop,1.0,879101.659359257,126805.09421976744
128,200,256,64,0.7,sigmoid,rmsprop,0.0001,880594.196836982,1838.672181426983
1024,200,256,32,0.3,sigmoid,adam,0.0001,882432.538583839,1594.0250975498136
32,200,32,32,0.7,tanh,rmsprop,1.0,883529.064457254,9999999999999.0
256,200,256,32,0.3,sigmoid,adagrad,0.0001,883841.303627635,2004.0086421570456
64,200,32,64,0.3,relu,adagrad,0.0001,885511.84332458,1700.8234573320876
128,200,32,32,0.3,relu,adagrad,0.0001,890527.880824966,1825.456506617367
64,200,32,32,0.7,sigmoid,adagrad,0.0001,893321.594865425,2016.8917161780223
128,200,64,32,0.3,sigmoid,adam,0.0001,893989.881273465,1624.915365188633
32,200,32,64,0.7,tanh,adam,0.0001,894386.968915313,1982.2987845282976
256,200,256,128,0.3,sigmoid,rmsprop,1.0,894948.282541444,7458958.554794095
1024,200,32,256,0.7,tanh,adam,0.0001,895591.07359085,1797.017476790581
1024,200,32,64,0.3,sigmoid,adam,0.0001,895699.053910048,1903.322828483365
32,200,64,128,0.3,relu,rmsprop,0.0001,895921.098511732,2129.842952715535
64,200,32,32,0.3,tanh,adam,0.0001,896661.163743468,2034.540201340982
64,200,32,256,0.7,relu,adagrad,0.0001,896965.834864635,1676.429920119842
1024,200,32,32,0.3,sigmoid,adam,1.0,904095.734855535,2037.381628810542
512,200,32,32,0.7,tanh,rmsprop,0.0001,904197.622308983,1743.4747785427785
32,200,32,128,0.3,tanh,adagrad,0.0001,904285.449424843,1640.9423730444632
128,200,256,32,0.7,tanh,rmsprop,1.0,911865.407728861,9999999999999.0
1024,200,32,256,0.7,sigmoid,rmsprop,0.0001,912147.182581565,1601.7933490715377
512,200,256,64,0.3,relu,rmsprop,0.0001,912437.538849053,1884.6128296161216
512,200,256,32,0.7,sigmoid,rmsprop,1.0,912839.75502022,98602.8950580921
256,200,256,32,0.7,sigmoid,rmsprop,0.0001,913377.764338016,1849.7563646210283
128,200,256,32,0.3,sigmoid,rmsprop,0.0001,914646.272684628,2091.0249907629623
32,200,32,256,0.3,sigmoid,adam,1.0,916193.864491356,1210598.1077868475
64,200,64,32,0.3,relu,rmsprop,0.0001,916940.364230838,1987.6107294960825
128,200,32,64,0.7,tanh,adam,0.0001,917329.114948372,1885.729161689939
1024,200,64,128,0.3,relu,adagrad,0.0001,917574.625751712,2158.001683602917
1024,200,256,32,0.3,tanh,adam,0.0001,918551.620493978,1715.3698750871506
