batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,transformer_layers,num_heads,time,RMSE,conv1d_filters
32,200,,128,0.1,relu,adagrad,0.0001,3,5,2819349.053831977,3415.1762984751417,32
32,200,,256,0.1,tanh,adam,0.0001,3,2,2826552.684767915,2817.257681743113,128
32,200,,32,0.1,tanh,adagrad,0.0001,1,6,2834556.160020875,2872.1126606279336,32
32,200,,256,0.1,tanh,adam,0.0001,2,4,2840105.162733754,3678.03052118555,256
64,200,,128,0.7,sigmoid,adam,0.0001,3,2,2848272.871094823,4679.76220155356,128
32,200,,256,0.1,tanh,rmsprop,0.0001,3,3,2857318.029266287,2881.5672362229743,64
32,200,,64,0.7,tanh,adam,0.0001,2,7,2864247.289315175,3663.857112132252,32
32,200,,32,0.7,tanh,rmsprop,0.0001,3,6,2872066.582769881,3520.981035540801,32
32,200,,256,0.1,sigmoid,rmsprop,0.0001,1,4,2883537.141785225,2534.1838107451727,128
32,200,,256,0.1,sigmoid,adagrad,0.0001,1,2,2886001.575202996,3385.7457178886066,32
32,200,,32,0.7,relu,adagrad,0.0001,2,8,2891590.752119404,3780.677078299152,32
32,200,,128,0.1,sigmoid,adagrad,0.0001,1,5,2901136.765787015,2536.126196251141,32
64,200,,32,0.7,tanh,adagrad,0.0001,2,6,2904752.433334666,3167.4565174140807,32
64,200,,256,0.7,tanh,adam,0.0001,3,3,2914716.765375573,3396.624954877336,32
32,200,,32,0.7,relu,rmsprop,0.0001,1,6,2927751.205974485,3674.2285822670783,64
