max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
137,0.1121970522598618,9,8,63,2.358286332999341,1487.135130081538
153,0.1027631838721012,4,9,58,2.126277374998608,1478.904279315882
169,0.01,2,10,53,2.0165004579994275,1488.0095810869295
167,0.2,10,10,67,2.432433541998762,1487.1033081555731
183,0.1031168453524428,7,3,61,2.914496625000538,1515.1994890876692
179,0.0374528110371111,9,9,36,1.337920500000109,1492.9230192541183
165,0.1569572382089913,8,1,44,2.1647489170009067,1618.127794931761
192,0.01,2,10,39,1.3760640420005077,1496.795906075096
189,0.01,10,10,24,0.8073616660003609,1494.4685558656854
354,0.2,10,1,27,1.3342753329998231,1610.8344629108851
119,0.1233034151527254,9,4,87,3.935815667000497,1517.5265509654505
338,0.2,10,10,64,2.363849624998693,1490.0206046748078
364,0.01,10,10,45,1.850382124999669,1488.9976841248786
202,0.2,10,1,31,1.7718893750006828,1606.5507702844382
141,0.01,2,1,57,3.4439777499992488,1626.7262783276265
353,0.0789148042288958,2,9,42,1.5665119170007529,1482.6536694783947
160,0.0519974631686782,4,5,66,2.9160342089999176,1491.8144695182066
377,0.01,2,10,70,2.461079749999044,1485.305220818111
368,0.01,2,1,62,3.812480665999829,1621.944745907443
346,0.0682250006471217,7,9,69,2.54049195800144,1477.3709589042835
172,0.01,2,10,63,2.269483250000121,1490.4257871702505
103,0.1484490503304785,2,6,91,3.703616999999213,1497.0627814637303
129,0.2,10,10,72,2.530395541998587,1487.8121946403537
176,0.01,4,10,21,0.7644757079997362,1494.1648608509686
109,0.01,2,10,66,2.3169562080001924,1487.6779693036942
187,0.01,2,10,10,0.3401923750006972,1548.2662319735994
392,0.01,2,10,69,2.333540792000349,1484.3846631016322
150,0.2,10,10,69,2.336326332999306,1484.3846631016322
345,0.01,2,1,130,7.583375792000879,1622.823568591316
122,0.0714556200473823,8,4,104,4.526390874998469,1513.0193954966203
316,0.0303200669800726,9,6,134,5.218730415999744,1515.7481325353624
297,0.1979350293014349,5,9,64,2.265845416999582,1482.8842277499857
305,0.01,10,1,63,3.08493558400005,1609.4933214909622
384,0.1187500819377595,9,9,66,2.3456580420006503,1480.4137728166447
286,0.2,2,10,68,2.4463364579987683,1486.0080242274423
290,0.2,10,10,77,2.5996467500008293,1489.945309854082
274,0.139734060076262,9,8,77,2.8567174169984355,1492.7793432297394
282,0.1822230900995262,3,6,90,3.818642333000753,1498.3734795350572
269,0.1293289621698863,2,8,64,2.4798266670004523,1486.7443396082383
281,0.1626275373113507,9,4,64,2.827103999999963,1513.1898245529785
259,0.06085229812800295,2,5,75,3.127496291999705,1493.2960845185862
