max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
114,0.0914749344698786,7,2,173,7.172264542001358,3870.324757737568
109,0.1858794420449413,8,9,199,6.710842082999079,3900.652039365765
122,0.086861870479593,2,9,184,5.1663584590005485,3900.590968756277
122,0.0169989342957542,3,1,198,9.67486474999896,3872.4996550895376
116,0.1677817334695348,4,2,156,5.955707875000371,3863.9762346570064
106,0.0748489449773727,3,9,148,4.382531375000326,3912.3773786048177
129,0.0192052486294199,4,8,166,4.86238004200095,3888.9483289838568
384,0.01,10,1,166,6.432035041998461,3856.1142554003686
395,0.0905051466206333,3,4,160,5.329207041999325,3867.705412459248
391,0.1576095401595713,4,9,173,4.688861458000247,3903.401021599902
378,0.0786374193064293,9,1,145,5.060000583998772,3859.457000519409
391,0.2,10,7,148,4.253183957998772,3887.530958692736
370,0.0962490888556508,9,8,135,3.989958249998381,3895.008131618437
389,0.0978332335376276,6,4,133,4.314033540998935,3882.268802518997
128,0.0765838857631828,6,7,150,4.411298250000982,3887.199863505016
19,0.0306977379457327,2,9,167,4.52540929099996,3903.860254769224
401,0.01,2,1,145,6.2401179160006,3866.264222223957
408,0.057918101515458,9,3,155,5.032464457999595,3863.396192172604
408,0.2,10,10,141,4.063432666000153,3925.078996911977
407,0.2,8,10,168,4.910029041999223,3914.319860239614
39,0.01,10,1,165,5.771300041000359,3853.731850191812
418,0.01,2,1,147,6.8384180839984765,3867.1459682769473
421,0.12902661698111906,9,9,161,4.510500084001251,3902.309664057513
