batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,transformer_layers,num_heads,time,RMSE,conv1d_filters
32,200,,32,0.1,tanh,rmsprop,0.0001,1,2,1452339.813239673,1838.2024582458344,256
1024,200,,32,0.7,tanh,adam,1.0,3,4,1453975.465664771,2446.658531130768,256
32,200,,32,0.7,sigmoid,adam,0.0001,3,2,1455022.230195342,1625.300811886146,256
32,200,,32,0.1,tanh,adam,0.0001,1,2,1465615.52060073,1638.6580274733342,32
1024,200,,32,0.7,sigmoid,adam,0.0001,3,3,1467551.381792267,3296.585580098372,256
32,200,,32,0.1,tanh,adam,0.0001,1,4,1471751.921835543,1802.2790838257704,256
1024,200,,64,0.7,tanh,adam,1.0,1,4,1474774.567795067,2098.245516465559,128
1024,200,,64,0.7,tanh,adam,0.0001,3,2,1475256.3074221,1842.7171921241504,256
256,200,,32,0.1,tanh,adam,1.0,1,4,1479291.811860641,5294.383155241877,256
32,200,,32,0.1,sigmoid,rmsprop,0.0001,1,2,1480175.039401436,1633.7942117424209,256
32,200,,32,0.1,sigmoid,rmsprop,0.0001,3,8,1482706.533899864,1566.4949270819036,32
128,200,,32,0.7,tanh,adam,0.0001,1,4,1489120.387523512,1761.502909060372,32
32,200,,32,0.7,tanh,adam,0.0001,1,2,1494454.848625901,1680.2577094390997,256
256,200,,256,0.1,sigmoid,rmsprop,0.0001,1,2,1497643.215685306,1618.755578911973,64
1024,200,,128,0.7,sigmoid,rmsprop,0.0001,1,2,1498665.693648639,2195.822901168809,128
256,200,,256,0.7,tanh,adam,0.0001,1,3,1500029.53567316,1764.254458204975,32
128,200,,32,0.1,tanh,rmsprop,0.0001,1,2,1502212.64618218,1990.904455189081,32
32,200,,32,0.1,tanh,rmsprop,0.0001,1,5,1503959.380788521,1789.275714009765,256
32,200,,32,0.1,sigmoid,adam,0.0001,3,6,1505717.917753794,1555.4624144896577,256
32,200,,256,0.1,sigmoid,adam,0.0001,1,5,1516574.395252514,1792.6136390682295,256
1024,200,,32,0.7,tanh,adam,1.0,1,2,1517931.382115461,3004.815957690727,32
32,200,,32,0.7,tanh,adam,0.0001,3,8,1518286.250459249,1712.4767586180883,64
1024,200,,32,0.7,tanh,adam,0.0001,1,4,1527190.262871241,2043.614118011388,256
1024,200,,32,0.1,tanh,adam,0.0001,1,4,1529021.416760279,1763.4022345362591,64
256,200,,32,0.1,tanh,adam,0.0001,1,2,1530580.230644146,1749.3164750799958,32
1024,200,,256,0.1,sigmoid,adam,0.0001,1,2,1532761.321875396,1669.023469025284,256
1024,200,,256,0.1,sigmoid,adam,0.0001,3,2,1533465.562894358,1601.501859679364,32
1024,200,,32,0.7,tanh,rmsprop,1.0,3,8,1535595.093344389,2129.8391830314445,32
64,200,,256,0.1,sigmoid,rmsprop,0.0001,1,2,1536573.122523824,1755.0278753474483,256
32,200,,32,0.7,sigmoid,rmsprop,0.0001,1,4,1538393.493848432,1619.214925342636,32
256,200,,256,0.1,tanh,adam,0.0001,1,2,1541626.502902377,1778.6881471440172,64
32,200,,32,0.7,sigmoid,rmsprop,0.0001,3,7,1542380.404876059,1694.0951995536725,256
256,200,,128,0.1454063228212369,relu,rmsprop,0.05490025970838,2,7,1813364.348491859,6871.4757521009415,256
1024,200,,128,0.1897901387643261,tanh,rmsprop,0.0001,2,7,1823872.722022513,3332.5169485060846,128
1024,200,,256,0.1,tanh,rmsprop,0.0001,3,6,1825856.798859135,4153.449575154232,256
1024,200,,256,0.1,sigmoid,rmsprop,0.0001,1,7,1827965.484613543,3410.372778392826,256
1024,200,,256,0.7,sigmoid,rmsprop,0.0001,3,7,1829295.972524051,4901.745037514513,64
1024,200,,64,0.7,sigmoid,rmsprop,0.0001,3,6,1831424.672619418,6254.147195956276,256
1024,200,,128,0.1,sigmoid,rmsprop,0.0001,2,6,1835955.701559833,3077.054828040107,128
512,200,,128,0.1,sigmoid,rmsprop,0.0001,3,8,1837611.481444001,2803.9381965651487,256
512,200,,32,0.1,tanh,rmsprop,0.0001,3,6,1841661.841098362,3561.97092455663,256
1024,200,,32,0.1,sigmoid,rmsprop,0.0001,3,8,1846632.409571178,2903.999789609901,64
1024,200,,64,0.1,tanh,rmsprop,0.0001,3,7,1852956.996453172,3628.370834947848,32
1024,200,,64,0.1,relu,adam,0.0001,3,7,1854991.616952522,3971.6177631886894,128
1024,200,,128,0.1,sigmoid,adam,0.0001,3,8,1857738.496587746,3214.7866727347337,32
1024,200,,32,0.7,sigmoid,adam,0.0001,1,8,1860056.359817303,6461.758734365491,32
1024,200,,256,0.1,tanh,rmsprop,0.0001,3,3,1862517.929801941,4199.656291953296,256
1024,200,,32,0.7,tanh,adam,0.0001,3,8,1863254.861539308,5277.438096688831,32
32,200,,32,0.7,tanh,rmsprop,0.0001,3,2,1867334.723066551,3655.4817476814274,32
32,200,,32,0.7,sigmoid,rmsprop,0.0001,3,2,1875272.762596565,5356.155020395134,128
32,200,,256,0.7,tanh,rmsprop,0.0001,3,2,1882940.091863745,3655.526894805454,32
32,200,,128,0.7,tanh,rmsprop,0.0001,3,2,1891553.475312108,4644.799560018496,256
32,200,,256,0.7,tanh,rmsprop,0.0001,1,2,1898846.452501404,2923.93552763122,128
32,200,,32,0.7,tanh,rmsprop,0.0001,1,2,1906217.986371666,3241.32724471784,128
32,200,,128,0.1,sigmoid,rmsprop,0.0001,1,2,1912581.275861173,2323.286735544378,256
32,200,,64,0.1,tanh,rmsprop,0.0001,1,2,1918100.358063552,3071.0934555834065,32
1024,200,,32,0.1,tanh,adam,0.0001,3,4,1922116.264603984,4516.606407412412,256
32,200,,64,0.1,tanh,adam,0.0001,1,2,1925381.972066625,2560.159141613222,256
32,200,,32,0.1,tanh,adagrad,0.0001,3,2,1936987.438870539,3509.241886730333,256
32,200,,32,0.1,sigmoid,adam,0.0001,1,2,1944225.883271925,2676.636624639408,256
128,200,,32,0.1,tanh,rmsprop,0.0001,3,2,1948725.860705445,5468.659558682251,128
1024,200,,32,0.1,sigmoid,rmsprop,0.0001,3,3,1958746.129017973,3189.9502736495924,256
32,200,,32,0.7,tanh,rmsprop,0.0001,3,5,1965493.933395113,3469.135795691056,32
32,200,,32,0.7,sigmoid,rmsprop,0.0001,1,2,1978541.828842736,4285.484314824621,32
32,200,,32,0.7,sigmoid,rmsprop,0.0001,1,5,1981755.407424876,4047.97914663301,32
1024,200,,256,0.1,sigmoid,rmsprop,0.0001,1,4,1985022.978712072,3256.581490988708,256
1024,200,,256,0.1,sigmoid,adam,0.0001,3,4,1985620.018283056,2540.322764728028,256
128,200,,32,0.1,sigmoid,rmsprop,0.0001,1,2,1989207.32550203,3619.225704285664,256
1024,200,,32,0.1,sigmoid,rmsprop,0.0001,1,5,1993664.871487261,3589.653422670799,256
32,200,,32,0.7,sigmoid,rmsprop,0.0001,1,8,1995891.389913578,4505.369068918637,32
1024,200,,128,0.7,tanh,adam,0.0001,3,2,1999600.079539367,3482.308114107114,256
32,200,,32,0.7,tanh,rmsprop,0.0001,3,8,2003036.166522136,4220.461606852839,32
32,200,,32,0.1,sigmoid,adam,0.0001,3,2,2009693.573832175,2744.682090906273,32
512,200,,32,0.1,sigmoid,rmsprop,0.0001,1,8,2019752.475862757,3227.503585301256,256
1024,200,,32,0.1,sigmoid,adam,0.0001,1,7,2022908.409294224,3430.7289785284247,256
128,200,,32,0.1,sigmoid,rmsprop,0.0001,3,8,2024994.263900919,2368.558246887256,32
128,200,,32,0.7,sigmoid,rmsprop,0.0001,3,3,2045148.70543115,4161.656095862946,32
32,200,,32,0.1,sigmoid,rmsprop,0.0001,1,4,2059656.336073272,2870.753908372071,256
256,200,,256,0.1,sigmoid,rmsprop,0.0001,3,8,2064968.24981102,3360.3166486096693,32
1024,200,,32,0.1,tanh,rmsprop,0.0001,3,8,2070664.274597283,4487.976679862288,256
256,200,,32,0.1,tanh,rmsprop,0.0001,3,8,2073174.626037138,4332.001692624103,32
1024,200,,128,0.1,sigmoid,rmsprop,0.0001,1,8,2077235.192030194,3877.588013884775,32
1024,200,,64,0.1,tanh,rmsprop,0.0001,3,2,2078199.690355242,3532.947907484624,256
128,200,,128,0.1,tanh,rmsprop,0.0001,1,2,2081935.956252269,3311.689260475867,256
32,200,,32,0.1,tanh,rmsprop,0.0001,3,4,2087536.788570079,3311.552666852334,256
32,200,,32,0.7,tanh,rmsprop,0.0001,1,6,2095841.385845248,3642.234888380314,32
1024,200,,32,0.7,tanh,rmsprop,0.0001,3,2,2104796.544543487,7932.249358990465,32
32,200,,256,0.7,tanh,rmsprop,0.0001,1,8,2108614.134476786,2936.3487518926154,32
128,200,,128,0.1,tanh,rmsprop,0.0001,3,2,2115182.156230578,3151.566543990461,32
32,200,,64,0.7,tanh,adam,0.0001,3,2,2125229.975084838,3885.702090281392,32
128,200,,256,0.1,tanh,rmsprop,0.0001,3,8,2133072.794179507,3942.768118624517,32
