batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
256,200,256,32,0.3,sigmoid,rmsprop,1.0,1110466.745032395,4933956.275252654
128,200,256,32,0.3,tanh,rmsprop,0.0001,1111380.803865238,4874.185162805038
512,200,256,64,0.7,sigmoid,adagrad,1.0,1113174.141108623,14258.510353384752
128,200,64,32,0.7,tanh,adagrad,0.0001,1115734.843423724,4507.380194413796
256,200,32,32,0.7,tanh,rmsprop,0.0001,1120403.825184311,4550.372302913892
256,200,128,256,0.7,sigmoid,rmsprop,0.0001,1120671.824122274,4383.650317899552
32,200,32,32,0.7,tanh,adagrad,1.0,1121411.940959505,18591.58617530642
1024,200,32,256,0.3,sigmoid,adam,0.0001,1122286.38897017,3744.804738594636
64,200,32,64,0.3,tanh,adam,0.0001,1122598.967299476,4076.649820460831
32,200,32,128,0.3,sigmoid,adagrad,0.0001,1123075.766228457,10791.301898295178
128,200,32,32,0.7,tanh,rmsprop,1.0,1127056.847540589,9999999999999.0
32,200,64,32,0.3,tanh,rmsprop,0.0001,1127143.963663048,4563.918862555655
32,200,256,32,0.3,sigmoid,rmsprop,0.0001,1127812.06933588,3749.2920403888406
128,200,64,32,0.3,relu,adam,0.0001,1131852.378697059,3654.28349055496
512,200,64,32,0.7,relu,rmsprop,0.0001,1132272.050080187,4069.9252996532528
64,200,256,128,0.3,tanh,rmsprop,0.0001,1132489.066445572,4748.117793565116
512,200,256,128,0.7,sigmoid,adagrad,0.0001,1134304.367764074,14242.369146950155
256,200,32,32,0.7,sigmoid,rmsprop,0.0001,1134838.398010433,3882.8469434039657
32,200,32,32,0.7,relu,adagrad,0.0001,1135169.585071554,4275.221174496257
1024,200,128,256,0.3,sigmoid,adam,1.0,1141551.473322369,104955.68972687748
128,200,64,256,0.3,sigmoid,adam,0.0001,1141831.471098757,4434.966625512278
256,200,256,32,0.3,relu,adagrad,0.0001,1142570.302301023,3971.168414217998
