batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
64,200,64,128,0.7,sigmoid,rmsprop,0.0001,662599.495769828,6150.982340800936
256,200,256,128,0.7,sigmoid,rmsprop,1.0,663604.200820419,13049900.970133318
256,200,256,32,0.3,sigmoid,adagrad,0.0001,664476.373461588,13205.250631502124
256,200,64,128,0.3,tanh,adam,0.0001,666519.007750276,2986.1301647075816
1024,200,32,32,0.3,tanh,adam,0.0001,666919.781477026,2737.174936831685
256,200,256,256,0.7,sigmoid,adagrad,0.0001,667341.439653719,13130.15344294146
32,200,64,32,0.5022996481398078,sigmoid,rmsprop,0.0546402503910649,668289.533650747,5037.38208415075
32,200,32,128,0.7,relu,adagrad,0.0001,669502.136819275,3033.044811116631
256,200,128,64,0.3,tanh,adagrad,0.0001,676744.776868194,3390.793598158228
128,200,128,256,0.7,sigmoid,rmsprop,0.0001,681048.617972748,10137.660751386464
256,200,256,128,0.7,sigmoid,adagrad,0.0001,682357.871041244,13167.245783713106
256,200,256,256,0.7,tanh,rmsprop,0.0001,683768.905214604,3441.5783302045274
256,200,256,64,0.3,relu,rmsprop,0.0001,685178.115690166,3619.7679603296606
256,200,256,32,0.7,sigmoid,rmsprop,1.0,686740.839683951,900698.8060216211
32,200,32,32,0.7,sigmoid,rmsprop,1.0,688403.485168185,13686.863621934572
1024,200,256,32,0.3,sigmoid,adam,0.0001,689136.062483659,3133.1989009885183
256,200,64,32,0.7,sigmoid,rmsprop,1.0,690567.329692846,837378.162962649
1024,200,256,128,0.3,relu,rmsprop,0.0001,690900.540419775,3307.3620707514606
64,200,32,64,0.7,sigmoid,adam,0.0001,691331.862513829,3720.979645701204
256,200,256,32,0.3,tanh,adam,0.0001,692343.296202042,2934.21933608713
128,200,256,32,0.3,tanh,rmsprop,1.0,693423.348545427,27240018.43061422
1024,200,256,256,0.3,tanh,rmsprop,0.0001,694894.880832196,3646.4259147019015
1024,200,32,32,0.7,sigmoid,adam,1.0,695704.194029668,13921.9668101203
512,200,256,32,0.3,relu,rmsprop,0.0001,695798.729823702,2869.6145489567484
128,200,32,64,0.3,tanh,adam,0.0001,696668.640688055,3189.4524482802285
256,200,32,32,0.7,sigmoid,adam,0.0001,697094.469456477,4280.3020370063705
32,200,256,128,0.3,sigmoid,rmsprop,0.0001,697831.704339499,2939.165590439404
128,200,64,32,0.7,relu,rmsprop,0.0001,703675.688336739,2845.462994664546
128,200,64,32,0.7,tanh,adagrad,0.0001,704426.734810852,3808.4489541113767
512,200,128,256,0.7,sigmoid,adagrad,0.0001,712634.360360835,13081.61146779706
1024,200,32,32,0.7,tanh,rmsprop,1.0,713292.886225258,19550214.61251978
32,200,32,32,0.3,tanh,rmsprop,0.0001,713401.256238252,3198.428188307548
128,200,64,32,0.7,sigmoid,adagrad,0.0001,714568.486586458,13156.571182447817
128,200,256,128,0.7,sigmoid,rmsprop,0.0001,716034.115490475,6028.922674517408
32,200,32,256,0.3,sigmoid,adam,1.0,719463.53520199,5063051.188792056
1024,200,32,32,0.7,relu,rmsprop,0.0001,720813.316294059,3192.4407107858747
32,200,32,64,0.7,tanh,adagrad,1.0,721081.61970351,9316.289711200352
128,200,64,32,0.3,tanh,rmsprop,1.0,724289.736273389,27388896.522605
1024,200,64,32,0.3,tanh,rmsprop,0.0001,725188.556620623,3204.278935200045
